,Time,Device_id,Gps_module_status,Use_time_gms,Enable_status,Enable_time,TTFF,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,Gps_signal_status,Signal_time,Total_time
43,3/8/18 19:05,GRFJ-RG9-KY6,Detect OK!,3935.567,OK,0.61,19,34,34,34,34,31,38,39,30,PASS,120.326,0:02:34
44,3/9/18 9:45,G8DY-ANP-2UY,Detect OK!,2268.757,OK,0.61,37,41,41,41,41,41,42,41,41,PASS,86.44,0:02:01
45,3/8/18 18:14,GVS2-TPB-FYA,Detect OK!,1122.913,OK,3.58,26,34,38,38,34,38,38,32,27,PASS,28.75,0:01:03
46,3/9/18 10:02,G6PP-SWY-6N7,Detect OK!,3311.345,OK,3.58,27,42,42,42,42,42,42,29,42,PASS,30.66,0:01:07
47,3/9/18 9:13,GC5A-NVV-JSD,Detect OK!,371.016,OK,0.61,29,40,40,40,40,41,41,41,41,PASS,69.17,0:01:44
48,3/9/18 11:11,GVEV-HVV-EM5,Detect OK!,2642.927,OK,3.58,27,40,40,40,39,38,39,29,30,PASS,45.85,0:01:26
49,3/9/18 9:57,G7A6-GTY-9HM,Detect OK!,735.427,OK,3.58,35,41,41,41,41,40,40,39,27,PASS,37.75,0:01:15
50,3/9/18 11:12,GWDR-T6A-E2D,Detect OK!,3266.587,OK,0.61,24,37,37,26,37,36,37,36,28,PASS,27.55,0:01:05
51,3/8/18 17:14,GWKD-NZE-B59,Detect OK!,15.74,OK,0.61,0,42,42,42,42,0,0,0,0,PASS,0.15,0:00:20
52,3/9/18 10:21,G5G8-ZBV-MUS,Detect OK!,158.418,OK,0.61,3,40,40,39,40,0,0,0,0,PASS,120.53,0:02:38
53,3/8/18 18:05,GVFH-AC3-RSR,Detect OK!,587.736,OK,0.61,0,40,39,38,38,39,39,38,0,PASS,0.46,0:00:38
54,3/8/18 20:26,GES6-SZW-AFB,Detect OK!,8755.451,OK,0.61,20,37,37,36,37,30,34,28,34,PASS,120.402,0:02:40
55,3/8/18 18:22,GWAF-3C4-P9Z,Detect OK!,1476.67,OK,0.61,20,38,38,37,38,27,38,39,39,PASS,120.79,0:02:36
56,3/9/18 9:41,G9HJ-2WB-Z82,Detect OK!,2070.771,OK,3.58,37,41,41,41,41,41,41,41,41,PASS,40.881,0:01:18
57,3/8/18 18:51,GU7N-5ZN-ZW3,Detect OK!,3193.249,OK,3.56,20,28,38,31,38,28,39,30,39,PASS,120.3,0:02:39
58,3/8/18 20:09,GGBF-E3C-AZV,Detect OK!,7763.637,OK,3.58,19,37,37,36,37,32,28,40,32,PASS,120.487,0:02:38
59,3/9/18 10:39,G28U-WW2-5CV,Detect OK!,748.995,OK,0.61,35,40,41,41,40,0,0,0,0,PASS,38.19,0:01:14
60,3/9/18 10:19,G5SY-5GV-RZ4,Detect OK!,4350.17,OK,3.58,35,41,42,42,41,41,41,41,41,PASS,37.65,0:01:17
61,3/8/18 18:44,GTEE-Y5G-7TX,Detect OK!,2869.585,OK,3.58,36,34,29,39,38,28,39,30,39,PASS,38.2,0:01:13
62,3/8/18 18:52,GRJH-8ER-6FG,Detect OK!,3400.341,OK,0.61,28,32,28,30,27,28,39,30,39,PASS,30.85,0:01:05
63,3/8/18 17:20,GWKN-3XS-UGB,Detect OK!,169.197,OK,0.61,33,36,36,36,36,39,29,39,29,PASS,33.27,0:01:08
64,3/9/18 9:40,G9CH-UWP-FYV,Detect OK!,2432.338,OK,3.58,34,41,41,41,41,41,42,42,41,PASS,94.81,0:02:15
65,3/8/18 20:16,GFRM-MK3-EK8,Detect OK!,8235.562,OK,0.61,54,37,37,36,37,37,31,31,37,PASS,55.982,0:01:30
66,3/9/18 11:06,GJGX-996-9GE,Detect OK!,2880.301,OK,3.55,40,37,37,26,37,36,37,36,28,PASS,98.66,0:02:21
67,3/8/18 19:29,GM5N-MBP-8PS,Detect OK!,5388.652,OK,0.61,43,34,34,34,34,38,37,30,38,PASS,99.95,0:02:03
68,3/9/18 11:04,GJGG-X5S-HCH,Detect OK!,2190.983,OK,3.55,46,40,40,40,39,38,29,38,38,PASS,102.41,0:02:23
69,3/9/18 11:10,GUVE-NE3-7TN,Detect OK!,3146.048,OK,3.55,27,37,37,26,37,36,37,36,28,PASS,58.18,0:01:34
70,3/8/18 20:34,GF8B-U68-5U3,Detect OK!,9498.257,OK,0.61,11,36,28,36,27,38,26,38,29,PASS,11.63,0:00:48
71,3/8/18 18:47,GTZP-5TG-Z3T,Detect OK!,3069.756,OK,0.61,47,28,38,31,38,28,39,30,39,PASS,48.45,0:01:24
72,3/8/18 19:24,GP6Y-46M-EDC,Detect OK!,5092.268,OK,3.5,25,34,34,34,34,38,37,30,38,PASS,81.386,0:01:58
73,3/8/18 17:01,GWH7-RZS-5SS,Detect OK!,23.782,OK,0.61,0,41,41,41,41,0,0,0,0,PASS,0.16,0:00:20
74,3/9/18 11:20,GPEC-PF7-8VP,Detect OK!,3123.952,OK,0.61,56,37,29,37,37,38,39,29,30,PASS,98.95,0:02:18
75,3/8/18 19:34,GMAU-7YY-35S,Detect OK!,5877.319,OK,0.61,43,31,32,26,33,36,30,35,35,PASS,48.45,0:01:22
76,3/8/18 18:42,GTCV-E7R-KCV,Detect OK!,2676.973,OK,3.58,19,31,30,38,38,28,39,30,39,PASS,121.07,0:02:40
77,3/9/18 11:15,GRJ4-C9F-K65,Detect OK!,3375.993,OK,0.61,20,37,37,26,37,36,37,36,28,PASS,121.19,0:02:39
78,3/9/18 9:51,G7SJ-BXH-WG5,Detect OK!,312.319,OK,0.61,34,41,41,41,41,40,40,40,41,PASS,93.07,0:02:10
79,3/9/18 10:16,G64T-4MD-URU,Detect OK!,4132.043,OK,3.58,34,40,40,29,39,40,40,40,40,PASS,36.74,0:01:16
80,3/8/18 20:13,GG36-TNK-3C6,Detect OK!,8183.502,OK,0.61,46,34,27,36,35,37,27,37,27,PASS,66.2,0:01:40
81,3/8/18 19:06,GREU-833-A87,Detect OK!,4130.323,OK,0.61,20,28,28,26,30,37,37,37,31,PASS,120.611,0:02:37
82,3/8/18 18:59,GT4A-95B-THK,Detect OK!,3557.201,OK,0.65,20,34,34,34,34,31,38,39,30,PASS,120.722,0:02:36
83,3/9/18 9:54,G28J-HFK-FNF,Detect OK!,2796.956,OK,3.58,33,41,41,29,41,41,30,41,29,PASS,92.141,0:02:07
84,3/9/18 10:34,G3DY-54J-8FW,Detect OK!,947.775,OK,0.61,17,40,40,29,39,40,40,39,40,PASS,120.59,0:02:37
85,3/8/18 18:46,GUN7-YJT-ERC,Detect OK!,2985.572,OK,3.58,24,28,38,31,38,28,39,30,39,PASS,25.49,0:01:01
86,3/9/18 9:21,GB29-GPW-W7S,Detect OK!,1309.908,OK,0.61,22,38,28,38,27,41,42,42,41,PASS,36.21,0:01:11
87,3/8/18 19:17,GRBS-B6Z-H7C,Detect OK!,4778.383,OK,3.58,2,35,28,28,29,36,30,35,35,PASS,120.95,0:02:41
88,3/9/18 11:14,GU8T-SV9-AU3,Detect OK!,2756.516,OK,3.55,32,41,41,35,41,38,39,29,30,PASS,91.901,0:02:13
89,3/9/18 9:34,G9HW-52N-8XP,Detect OK!,1558.144,OK,0.61,41,41,40,41,40,41,41,41,41,PASS,97.03,0:02:12
90,3/9/18 10:00,G6UV-E66-JZS,Detect OK!,3184.882,OK,0.61,36,41,41,29,41,40,41,41,29,PASS,44.35,0:01:20
91,3/9/18 9:50,G7RU-U9K-EMF,Detect OK!,2577.254,OK,0.61,34,41,41,41,41,41,41,41,41,PASS,36.23,0:01:11
92,3/9/18 9:38,G9DK-A3S-KAS,Detect OK!,1865.219,OK,0.61,34,41,41,41,41,41,41,41,41,PASS,40.74,0:01:09
93,4/9/18 18:04,GMHB-7KM-U6M,Detect OK!,171.165,OK,0.61,24,44,44,44,44,44,44,44,44,PASS,24.96,0:00:49
94,3/9/18 10:35,G3AC-9ZK-5KY,Detect OK!,464.855,OK,3.58,41,41,41,41,41,0,0,0,0,PASS,70.89,0:01:50
95,3/9/18 9:09,GD3H-GRZ-5E5,Detect OK!,152.343,OK,3.58,36,40,40,40,40,40,41,40,40,PASS,39.59,0:01:16
96,3/8/18 17:16,GT63-BHX-UXX,Detect OK!,90.281,OK,3.56,17,42,42,42,42,40,40,39,40,PASS,18.54,0:00:54
97,3/8/18 20:06,GGNB-F7B-W5E,Detect OK!,7609.003,OK,0.61,36,31,32,31,30,32,28,40,32,PASS,92.416,0:02:01
98,3/8/18 20:36,GES6-4KZ-C93,Detect OK!,9578.204,OK,3.58,28,36,28,36,27,29,39,31,34,PASS,46.38,0:01:25
99,3/8/18 19:08,GU8U-6CA-S6P,Detect OK!,4308.997,OK,3.58,35,28,28,26,30,39,39,29,39,PASS,40.74,0:01:16
100,3/9/18 9:45,G8U3-XHD-R32,Detect OK!,5.965,OK,0.61,35,40,40,40,40,41,40,41,40,PASS,38.27,0:00:59
101,3/8/18 19:33,GN4Z-GXA-EWX,Detect OK!,5559.171,OK,0.61,20,34,34,34,34,38,37,30,38,PASS,120.497,0:02:50
102,3/8/18 19:54,GJA4-UGY-4C3,Detect OK!,6852.618,OK,3.57,20,31,32,31,30,38,37,30,38,PASS,120.476,0:02:48
103,3/9/18 9:22,GAZR-ZHB-YXC,Detect OK!,892.182,OK,3.58,35,41,40,41,40,40,41,41,41,PASS,87.48,0:02:04
104,3/8/18 20:01,GHN4-J76-7WX,Detect OK!,7242.092,OK,3.23,20,31,32,31,30,32,28,29,32,PASS,120.382,0:02:39
105,3/9/18 9:48,G7GS-EVR-2WJ,Detect OK!,2427.098,OK,0.61,35,41,41,41,41,41,40,41,41,PASS,95.84,0:02:05
106,3/9/18 9:40,G97X-NG7-R8H,Detect OK!,1973.854,OK,0.61,34,40,40,40,40,41,41,41,41,PASS,36.44,0:01:15
107,3/9/18 9:49,G7HK-AWZ-BE5,Detect OK!,204.478,OK,0.61,34,41,41,41,41,40,40,40,41,PASS,48.62,0:01:23
108,3/8/18 19:46,GK8C-2X9-H62,Detect OK!,6562.301,OK,0.61,40,28,29,31,28,32,35,35,28,PASS,53.96,0:01:29
109,3/9/18 10:58,GH4J-PX7-SK9,Detect OK!,1898.26,OK,0.61,24,30,39,39,39,0,0,0,0,PASS,35.02,0:01:13
110,3/8/18 20:12,GFXU-A2B-BH3,Detect OK!,7943.262,OK,3.58,42,37,37,36,37,37,31,31,37,PASS,103.28,0:02:19
111,3/8/18 18:55,GRNU-CP7-NV6,Detect OK!,3289.495,OK,3.57,10,34,34,34,34,31,38,39,30,PASS,120.282,0:02:44
112,3/9/18 10:26,G57Z-PRF-ERU,Detect OK!,521.139,OK,3.58,36,40,40,29,39,40,40,39,40,PASS,38.89,0:01:18
113,3/9/18 9:25,GAN6-VGT-BMC,Detect OK!,1526.278,OK,0.61,35,40,39,29,39,41,42,42,41,PASS,89.86,0:02:05
114,3/9/18 9:04,GEAC-G4P-XEK,Detect OK!,250.616,OK,3.55,28,38,39,39,39,0,0,0,0,PASS,89.33,0:02:08
115,3/9/18 9:29,GA73-NT4-686,Detect OK!,1368.004,OK,3.58,27,41,40,41,40,41,41,41,41,PASS,30.841,0:01:00
116,3/8/18 19:02,GM46-JNT-83E,Detect OK!,3740.199,OK,0.61,0,34,34,34,34,31,38,39,30,PASS,120.286,0:02:53
117,3/8/18 19:03,GU79-JGD-UJZ,Detect OK!,3991.106,OK,3.58,33,28,28,26,30,37,37,37,31,PASS,57.11,0:01:37
118,3/9/18 9:11,GCYX-U45-MP5,Detect OK!,697.095,OK,3.59,34,41,40,40,41,40,41,41,40,PASS,36.62,0:01:14
119,3/8/18 19:40,GMUM-W5B-CSC,Detect OK!,6134.245,OK,3.58,20,33,28,28,33,35,29,35,36,PASS,120.36,0:02:40
120,3/9/18 9:15,GBN4-869-BF5,Detect OK!,512.696,OK,3.58,33,41,41,41,41,41,41,41,41,PASS,33.6,0:01:15
121,3/8/18 19:58,GHZE-8ER-78J,Detect OK!,7044.001,OK,3.58,52,31,32,31,30,38,37,30,38,PASS,120.105,0:02:57
122,3/8/18 20:16,GFX4-P9F-869,Detect OK!,8318.147,OK,3.59,20,34,27,36,35,37,27,37,27,PASS,120.47,0:02:37
123,3/9/18 10:14,G6H2-XMT-7AC,Detect OK!,4044.354,OK,3.58,35,42,42,42,42,41,42,41,41,PASS,37.62,0:01:09
124,3/9/18 9:07,GD8N-47C-KF9,Detect OK!,6.05,OK,3.57,40,42,42,42,42,0,0,0,0,PASS,95.95,0:01:58
125,3/9/18 9:16,GBPZ-ZGJ-MJT,Detect OK!,970.232,OK,3.58,28,38,28,38,27,38,38,38,38,PASS,89.81,0:02:08
126,3/8/18 20:04,GHBM-7TN-5Z5,Detect OK!,7425.789,OK,0.61,9,31,32,31,30,32,28,29,32,PASS,120.493,0:02:44
127,3/8/18 18:37,GV58-GFA-5X5,Detect OK!,2392.199,OK,3.58,66,31,30,38,38,39,38,39,28,PASS,120.34,0:02:40
128,3/9/18 9:26,GAMJ-Y42-MF6,Detect OK!,1165.7,OK,3.58,34,41,40,41,40,29,41,41,41,PASS,37.33,0:01:17
129,3/8/18 18:19,GVY9-N68-ZM9,Detect OK!,1386.111,OK,3.581,31,38,38,37,38,27,38,39,39,PASS,33.12,0:01:11
130,3/9/18 11:15,GSE8-MYE-P7R,Detect OK!,2908.176,OK,0.61,34,37,29,37,37,38,39,29,30,PASS,36.16,0:01:14
131,3/9/18 9:36,G9V5-GVE-VGR,Detect OK!,1711.989,OK,3.58,32,40,40,30,40,41,41,41,41,PASS,67.37,0:01:48
132,3/9/18 10:23,G5D7-6PE-9DR,Detect OK!,4556.19,OK,0.61,38,40,41,41,41,41,41,41,41,PASS,69.49,0:01:43
133,3/8/18 18:56,GS7T-E44-7VA,Detect OK!,3583.582,OK,3.57,42,32,28,30,27,37,37,37,31,PASS,47.29,0:01:24
134,3/8/18 20:08,GGCD-J7H-5AA,Detect OK!,7828.538,OK,3.58,20,34,27,36,35,37,29,32,30,PASS,120.82,0:02:39
135,3/9/18 9:56,G26H-YC5-VTF,Detect OK!,612.137,OK,3.58,33,41,41,41,41,40,40,40,41,PASS,58.95,0:01:38
136,3/8/18 19:42,GKWS-PXH-J74,Detect OK!,6212.211,OK,0.61,48,31,33,33,33,38,37,30,38,PASS,50.282,0:01:24
137,3/9/18 10:57,GEKW-EUF-DDN,Detect OK!,2322.754,OK,0.61,20,38,38,29,38,36,37,36,28,PASS,120.99,0:02:41
138,3/9/18 9:51,G7V7-BDV-T4B,Detect OK!,2691.304,OK,0.61,24,41,41,41,41,41,41,41,29,PASS,27.64,0:00:58
139,3/8/18 19:42,GM77-JFZ-SD8,Detect OK!,6312.235,OK,3.58,45,33,28,28,33,32,35,35,28,PASS,78.841,0:01:57
140,3/9/18 11:09,GUNZ-9DV-ZRM,Detect OK!,2518.149,OK,0.61,34,40,40,40,39,39,39,39,30,PASS,63.18,0:01:41
141,3/8/18 19:29,GNA2-V8W-JWM,Detect OK!,5524.005,OK,0.61,15,31,32,26,33,36,30,35,35,PASS,120.47,0:02:36
142,3/8/18 19:13,GPXY-ZAY-Y69,Detect OK!,4443.992,OK,0.63,42,34,34,34,34,38,37,30,38,PASS,44.01,0:01:19
143,3/9/18 10:28,G4KC-KC5-VMP,Detect OK!,627.173,OK,3.58,57,40,40,29,39,40,40,39,40,PASS,82.221,0:01:56
144,3/8/18 20:11,GK4Z-EKS-XXP,Detect OK!,8005.042,OK,3.58,20,34,27,36,35,37,29,32,30,PASS,120.36,0:02:41
145,3/8/18 19:50,GJHZ-K3K-M29,Detect OK!,6604.355,OK,0.61,19,32,30,31,36,38,37,30,38,PASS,120.174,0:02:39
146,3/9/18 10:37,G2ZY-YKF-Z6W,Detect OK!,1121.027,OK,0.61,39,37,37,28,36,36,37,36,28,PASS,97.61,0:02:15
147,3/8/18 18:54,GRU6-26E-GE9,Detect OK!,3490.374,OK,0.61,28,32,28,30,27,28,39,30,39,PASS,28.97,0:01:05
148,3/9/18 9:20,GBAA-E53-EZR,Detect OK!,785.018,OK,0.61,33,41,40,41,40,42,42,42,42,PASS,35.29,0:01:14
149,3/9/18 9:13,GC6D-SF7-AA4,Detect OK!,816.703,OK,3.58,39,39,38,28,38,38,39,38,39,PASS,98.33,0:02:10
150,3/8/18 19:14,GPZ4-39K-KAA,Detect OK!,4590.598,OK,3.57,88,28,28,26,30,39,39,29,39,PASS,120.36,0:02:39
151,3/8/18 19:32,GPA3-PSJ-GK8,Detect OK!,5702.074,OK,0.61,20,31,32,26,33,36,30,35,35,PASS,120.6,0:02:33
152,3/9/18 11:04,GJ7A-9DY-PP7,Detect OK!,2713.735,OK,0.61,20,36,35,27,36,36,37,36,28,PASS,120.981,0:02:20
153,3/9/18 10:31,G4T4-TEN-WFF,Detect OK!,769.417,OK,0.61,20,40,40,29,39,40,40,39,40,PASS,120.51,0:02:38
154,4/9/18 18:02,GDYD-N5U-WUY,Detect OK!,30.072,OK,3.55,32,44,44,44,44,44,44,44,0,PASS,32.63,0:00:58
155,3/9/18 9:18,GBGP-RB6-ZUX,Detect OK!,641.49,OK,3.58,25,41,41,41,41,42,42,42,42,PASS,75.641,0:01:53
156,3/8/18 17:19,GVKK-EUD-KXA,Detect OK!,118.212,OK,0.61,0,36,36,36,36,41,41,30,30,PASS,1.35,0:00:33
157,3/9/18 10:17,G5X7-T3R-2PX,Detect OK!,4247.39,OK,3.58,35,41,42,42,41,41,41,41,41,PASS,37.77,0:01:16
158,3/8/18 19:11,GPZ8-NN9-S69,Detect OK!,4261.41,OK,0.61,20,34,34,34,34,33,35,36,28,PASS,120.657,0:02:36
159,3/9/18 11:02,GHZ3-73T-URF,Detect OK!,2036.144,OK,0.61,36,40,40,40,39,30,39,39,39,PASS,94.181,0:02:12
160,3/8/18 20:21,GFEG-7XP-WJM,Detect OK!,8477.398,OK,0.61,18,37,37,36,37,29,34,31,35,PASS,120.101,0:02:42
161,3/8/18 18:09,GT9D-SYY-H79,Detect OK!,807.238,OK,3.56,30,29,37,37,37,37,37,37,37,PASS,32.09,0:01:10
162,3/8/18 18:18,GVUW-G4D-XM2,Detect OK!,1301.824,OK,0.61,30,34,38,38,34,27,38,39,39,PASS,33.9,0:01:05
163,3/9/18 11:18,GPE2-WN2-W6K,Detect OK!,3563.066,OK,0.61,20,37,37,26,37,36,37,36,28,PASS,121.04,0:02:41
164,3/9/18 9:47,G7CD-8ZU-UN9,Detect OK!,103.332,OK,0.61,36,41,41,41,41,40,40,40,41,PASS,38.59,0:01:15
165,3/8/18 18:26,GUCC-MSN-C8J,Detect OK!,1748.109,OK,0.61,20,38,38,37,38,39,38,39,28,PASS,120.85,0:02:35
166,3/9/18 9:33,G9VW-6EG-PUC,Detect OK!,1990.858,OK,0.61,20,40,40,29,40,41,42,42,41,PASS,120.301,0:02:35
167,3/8/18 18:16,GVS7-HGM-KNE,Detect OK!,1206.573,OK,3.58,31,34,38,38,34,29,31,39,34,PASS,34.23,0:01:10
168,3/8/18 18:38,GV9Z-F56-GUD,Detect OK!,2312.017,OK,0.61,37,40,40,39,40,29,28,31,30,PASS,95.88,0:02:08
169,3/8/18 18:50,GUC2-UKF-TEA,Detect OK!,3080.668,OK,3.57,47,34,34,34,34,31,38,39,30,PASS,50.474,0:01:30
170,3/8/18 19:20,GNUZ-PES-8TN,Detect OK!,4962.984,OK,3.57,42,35,28,28,29,36,30,35,35,PASS,98.55,0:02:18
171,3/9/18 10:31,G3JC-6HF-E7K,Detect OK!,234.967,OK,3.58,33,41,41,41,41,0,0,0,0,PASS,36.8,0:01:17
172,3/8/18 20:29,GEYZ-23N-FW5,Detect OK!,9164.947,OK,3.58,49,31,27,27,37,35,31,37,34,PASS,80.701,0:02:00
173,3/8/18 19:23,GR9P-CZ7-XSD,Detect OK!,5223.525,OK,0.61,56,31,32,26,33,36,30,35,35,PASS,67.18,0:01:43
174,3/8/18 18:08,GVR4-6BU-9EA,Detect OK!,655.57,OK,3.55,29,29,37,37,37,37,37,37,37,PASS,88.651,0:02:07
175,3/8/18 20:18,GNZZ-Z6G-9A3,Detect OK!,8492.146,OK,3.58,90,29,33,34,33,37,27,37,27,PASS,91.981,0:02:08
176,3/8/18 19:36,GN45-AVA-WGV,Detect OK!,5981.577,OK,3.58,44,33,28,28,33,35,29,35,36,PASS,65.72,0:01:44
177,3/8/18 17:18,GWZU-SZW-B4F,Detect OK!,15.852,OK,3.58,34,41,41,30,30,0,0,0,0,PASS,35.95,0:01:13
178,3/8/18 20:22,GF98-5ZP-RT2,Detect OK!,8666.11,OK,0.61,20,29,33,34,33,37,27,37,27,PASS,120.75,0:02:35
179,3/8/18 19:45,GKF8-M9M-RPB,Detect OK!,6316.489,OK,3.58,20,31,33,33,33,38,37,30,38,PASS,120.503,0:02:46
180,3/9/18 9:24,GAMM-Y2E-K4H,Detect OK!,1071.643,OK,0.61,35,41,40,41,40,40,40,40,41,PASS,38.96,0:01:13
181,3/8/18 18:39,GVDB-ZFJ-86X,Detect OK!,2583.721,OK,3.58,33,31,30,38,38,39,38,39,28,PASS,35.38,0:01:14
